"BY RELIGION, SEX AND RURAL/URBAN",,,,,,,,,,,,


Id,Division,District,Tehsil,Area,Sex,Total,Muslim,Christian,HinduJati,QadianiAhmadi,Scheduled_Castes,Others
183,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,RURAL,FEMALE,158537,158069,4,20,79,8,357
184,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,URBAN,BOTH SEXES,38297,38089,8,3,143,1,53
185,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,URBAN,MALE,19697,19592,4,1,68,1,31
186,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,URBAN,FEMALE,18600,18497,4,2,75,-,22
187,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,TOTAL,BOTH SEXES,1120951,1106724,9662,717,2008,93,1747
188,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,TOTAL,MALE,579009,571768,4916,355,1017,45,908
189,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,TOTAL,FEMALE,541942,534956,4746,362,991,48,839
190,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,RURAL,BOTH SEXES,976748,964494,8077,692,1794,83,1608
191,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,RURAL,MALE,504431,498215,4095,345,905,38,833
192,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,RURAL,FEMALE,472317,466279,3982,347,889,45,775
193,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,URBAN,BOTH SEXES,144203,142230,1585,25,214,10,139
